uid,user_raw
0,100004
1,100009
2,100088
3,100223
4,100227
5,100264
6,10030
7,100361
8,100459
9,100471
10,100578
11,100594
12,100610
13,100644
14,100648
15,100782
16,100846
17,100906
18,100984
19,101035
20,101041
21,101141
22,10118
23,101196
24,101209
25,101304
26,101305
27,101606
28,101620
29,101696
30,101731
31,101851
32,101876
33,10199
34,102129
35,102154
36,102220
37,102275
38,102359
39,102375
40,1025
41,102564
42,102581
43,102642
44,102647
45,102668
46,102676
47,102702
48,102705
49,102772
50,102945
51,102967
52,10314
53,10315
54,103304
55,103315
56,103336
57,103445
58,10354
59,103656
60,103811
61,104051
62,104058
63,104098
64,104113
65,104144
66,104211
67,104243
68,104268
69,104278
70,104311
71,104334
72,104362
73,104399
74,104413
75,104429
76,104437
77,10447
78,104505
79,104550
80,104569
81,104604
82,104636
83,104657
84,104665
85,104705
86,104812
87,104880
88,104883
89,104925
90,105028
91,105054
92,105058
93,105108
94,105115
95,105214
96,105221
97,105317
98,105374
99,105476
100,105517
101,105536
102,105576
103,10560
104,105627
105,105937
106,105979
107,106007
108,106059
109,106078
110,106114
111,106131
112,106208
113,106225
114,106280
115,106294
116,106302
117,106331
118,106369
119,106406
120,106768
121,106816
122,106845
123,106849
124,106946
125,106950
126,107021
127,107244
128,107258
129,107301
130,107324
131,107326
132,107453
133,1075
134,107523
135,107784
136,107865
137,107889
138,107951
139,108005
140,108143
141,108155
142,108158
143,10819
144,108213
145,108243
146,108267
147,108285
148,108336
149,108352
150,108392
151,108405
152,108480
153,108485
154,108535
155,108563
156,108700
157,108752
158,108753
159,108773
160,108799
161,108827
162,108950
163,109013
164,109084
165,109107
166,109122
167,109135
168,109287
169,109349
170,109357
171,109363
172,109388
173,109461
174,10949
175,109491
176,109516
177,109574
178,109605
179,109779
180,109864
181,109899
182,109901
183,109921
184,109955
185,110029
186,110040
187,110076
188,110110
189,110112
190,110160
191,110165
192,110208
193,110214
194,110317
195,110361
196,110373
197,110382
198,110440
199,110483
200,110493
201,110700
202,110746
203,110887
204,110912
205,110934
206,110973
207,111133
208,111174
209,111190
210,11120
211,111241
212,111261
213,111286
214,111578
215,111634
216,111637
217,111816
218,111847
219,111938
220,111944
221,111947
222,112001
223,112026
224,112083
225,112093
226,112109
227,112199
228,11224
229,112298
230,112402
231,112408
232,11245
233,112502
234,112507
235,112512
236,112541
237,112559
238,112590
239,112598
240,112672
241,112761
242,112765
243,112818
244,112881
245,112914
246,112953
247,113030
248,1131
249,113270
250,113334
251,113435
252,113519
253,113531
254,113602
255,11362
256,113661
257,113663
258,113752
259,113804
260,113817
261,113904
262,113955
263,113983
264,114
265,11400
266,114007
267,114075
268,114085
269,114089
270,114178
271,114200
272,114216
273,114217
274,114258
275,114265
276,114279
277,114306
278,114368
279,114414
280,114444
281,114446
282,114483
283,114544
284,114581
285,114634
286,114643
287,114742
288,114813
289,114868
290,114988
